item_name,full_price,new_price,discount,amount_saved,category
energizer max aa battery,Was $26.00, $ 12 00 ,Save $14.00,53.85,
energizer max aaa battery,Was $26.00, $ 12 00 ,Save $14.00,53.85,
glow lab body wash citrus and bergamot,Was $16.99, $ 8 39 ,Save $8.60,50.62,Health & Body
glow lab body wash blackberry and bay,Was $16.99, $ 8 39 ,Save $8.60,50.62,Health & Body
glow lab body wash coconut and sandalwood,Was $16.99, $ 8 39 ,Save $8.60,50.62,Health & Body
glow lab body wash creamy,Was $16.99, $ 8 39 ,Save $8.60,50.62,Health & Body
vittoria espresso grind decaf,Was $12.50, $ 6 20 ,Save $6.30,50.4,Pantry
sunsilk conditioner vibrant colour,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner long & strong,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo & conditioner total care 2 in 1,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo long & strong,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner brilliant shine,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner soft & smooth,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo soft & smooth,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo defeat damage,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner defeat damage,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo brilliant shine,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo detox for men,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
pantene pro-v classic clean conditioner,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
ogx morroco dry shampoo argan oil,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v ultimate 10 repair & protect shampoo for damaged hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v smooth & sleek shampoo for frizzy hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
ogx dry shampoo coconut milk,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v ultimate 10 repair & protect conditioner for damaged hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v smooth & sleek conditioner for frizzy hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
me today immune capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today high dose magnesium capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today beauty capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today energise tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today high dose ashwaganda tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today goodnight capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today high dose cranberry tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today high dose vitamin d tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today men's daily tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today vitamin b12 capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,
me today womens daily tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,
ogx quenching & coconut shampoo curls,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx conditioner moroccan argan oil,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx shampoo brazilian keratin therapy,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx thick & full shampoo biotin & collagen,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx shampoo coconut milk,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx conditioner coconut milk,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx conditioner brazilian keratin therapy,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx shampoo moroccan argan oil,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx thick & full conditioner biotin & collagen,Was $19.99, $ 10 00 ,Save $9.99,49.97,Health & Body
ogx moroccan argan oil hair treatment penetrating,Was $28.99, $ 15 00 ,Save $13.99,48.26,
