item_name,full_price,discount,amount_saved
energizer max aa battery,Was $26.00,Save $14.00,53.85
glow lab body wash blackberry and bay,Was $16.99,Save $8.60,50.62
sunsilk shampoo long & strong,Was $7.99,Save $4.00,50.06
sunsilk shampoo soft & smooth,Was $7.99,Save $4.00,50.06
sunsilk conditioner long & strong,Was $7.99,Save $4.00,50.06
kelloggs sultana bran cereal original,Was $11.00,Save $5.00,45.45
countdown NZ beef rump steak 1-2 pack grass fed,Was $27.50,Save $12.50,45.45
twinings english breakfast tea,Was $11.00,Save $4.40,40.0
starbucks by nespresso coffee pods espresso roast,Was $10.00,Save $4.00,40.0
starbucks by nespresso coffee pods house blend,Was $10.00,Save $4.00,40.0
protex antibacterial bar soap fresh value pack,Was $4.69,Save $1.69,36.03
ecostore dishwash liquid grapefruit,Was $5.00,Save $1.80,36.0
ecostore dishwash liquid lemon,Was $5.00,Save $1.80,36.0
vitasoy coconut milk unsweetened,Was $4.99,Save $1.79,35.87
colgate plax antibacterial mouthwash rinse fresh mint,Was $6.99,Save $2.49,35.62
chelsea raw sugar,Was $4.90,Save $1.70,34.69
pepsi max soft drink cola max,Was $3.50,Save $1.20,34.29
moccona café classics coffee sachets caramel latte,Was $7.50,Save $2.50,33.33
schweppes drink mixers indian tonic water,Was $4.20,Save $1.40,33.33
pringles potato chips salt & vinegar,Was $4.50,Save $1.50,33.33
dove beauty cream soap bar original,Was $4.50,Save $1.50,33.33
schweppes drink mixers diet indian tonic water,Was $4.20,Save $1.40,33.33
earthwise dishwasher powder lemon & lime,Was $16.00,Save $5.00,31.25
sprite lemon lime no sugar,Was $13.00,Save $4.00,30.77
coca cola soft drink zero sugar,Was $13.00,Save $4.00,30.77
eta uppercuts deli cut potato chips sea salt & balsamic vinegar,Was $3.60,Save $1.10,30.56
eta uppercuts deli cut potato chips sweet chilli relish,Was $3.60,Save $1.10,30.56
beehive pastrami shaved beef 2 x 50pack,Was $4.30,Save $1.30,30.23
wattie's wok creations frozen stir fry vegetables vietnamese style,Was $4.30,Save $1.30,30.23
coca cola soft drink diet coke,Was $34.00,Save $10.20,30.0
l & p soft drink lemon & paeroa,Was $34.00,Save $10.20,30.0
kleenex tissues eucalyptus,Was $5.00,Save $1.50,30.0
kleenex tissues large n thick 3ply,Was $5.00,Save $1.50,30.0
colgate cavity protection toothpaste great regular flavour,Was $4.99,Save $1.49,29.86
uncle tobys quick oats creamy honey,Was $6.40,Save $1.90,29.69
edmonds pancake mix shaker original,Was $4.69,Save $1.39,29.64
edmonds shaker pancake mix batter,Was $4.69,Save $1.39,29.64
fresh n fruity 40% less sugar yoghurt tub passionfruit 40% less added,Was $6.80,Save $2.00,29.41
fresh n fruity yoghurt tub lemon 40% less added sugar,Was $6.80,Save $2.00,29.41
fresh n fruity yoghurt tub fruit forest 40% less added,Was $6.80,Save $2.00,29.41
mainland special reserve double cream camembert cheese,Was $6.90,Save $2.00,28.99
mainland special reserve double cream brie cheese ultra creamy & smooth,Was $6.90,Save $2.00,28.99
tip top ice cream caramel ripple,Was $8.30,Save $2.40,28.92
tip top ice cream rocky road,Was $8.30,Save $2.40,28.92
tip top ice cream jelly tip,Was $8.30,Save $2.40,28.92
tip top ice cream chocolate,Was $8.30,Save $2.40,28.92
tip top ice cream orange chocolate chip,Was $8.30,Save $2.40,28.92
tip top ice cream boysenberry ripple,Was $8.30,Save $2.40,28.92
meadow fresh smooth yoghurt 6pk fruit favourites 6 x 125g,Was $6.90,Save $1.90,27.54
meadow fresh yoghurt 6pk creamy berries 6 x 125g,Was $6.90,Save $1.90,27.54
the natural confectionery co jelly sweets party mix,Was $4.00,Save $1.10,27.5
the natural confectionery co jelly sweets snakes,Was $4.00,Save $1.10,27.5
the natural confectionery co jelly sweets sours squirms,Was $4.00,Save $1.10,27.5
ajax spray n wipe multipurpose cleaning spray antibacterial apple & citrus,Was $5.50,Save $1.50,27.27
ajax spray n wipe multipurpose cleaning spray vanilla & berries,Was $5.50,Save $1.50,27.27
ajax spray n wipe cleaning kitchen spray multipurpose baking soda,Was $5.50,Save $1.50,27.27
m&ms chocolate milk chocolate fun size 162g,Was $5.50,Save $1.50,27.27
ajax spray n wipe bathroom cleaner antibacterial spray,Was $5.50,Save $1.50,27.27
just hummus hummus roasted carrot & honey,Was $4.10,Save $1.10,26.83
just hummus hummus beetroot with roasted garlic,Was $4.10,Save $1.10,26.83
just hummus hummus roasted kumara & butternut,Was $4.10,Save $1.10,26.83
san remo pasta spaghetti egg,Was $3.40,Save $0.90,26.47
san remo pasta spirals trivelle,Was $3.40,Save $0.90,26.47
copper kettle potato chips honey soy chicken,Was $4.70,Save $1.20,25.53
dettol foaming hand wash rose & cherry in bloom,Was $4.69,Save $1.19,25.37
active rapid dishwasher tablets lemon,Was $14.70,Save $3.70,25.17
fantastic instant noodles cup chicken,Was $2.00,Save $0.50,25.0
sun rice long grain rice premium white,Was $4.00,Save $1.00,25.0
colgate total antibacterial toothpaste original,Was $5.99,Save $1.49,24.87
nescafe coffee classic,Was $13.30,Save $3.30,24.81
