item_name,full_price,new_price,discount,amount_saved
sunsilk conditioner long & strong,Was $7.99,$ 3 99,Save $4.00,50.06
sunsilk shampoo long & strong,Was $7.99,$ 3 99,Save $4.00,50.06
kelloggs sultana bran cereal original,Was $11.00,$ 6 00,Save $5.00,45.45
countdown NZ beef rump steak 1-2 pack grass fed,Was $27.50,$ 15 00 kg,Save $12.50,45.45
ecostore dishwash liquid grapefruit,Was $5.00,$ 3 20,Save $1.80,36.0
pepsi max soft drink cola max,Was $3.50,$ 2 30,Save $1.20,34.29
moccona café classics coffee sachets caramel latte,Was $7.50,$ 5 00,Save $2.50,33.33
schweppes drink mixers indian tonic water,Was $4.20,$ 2 80,Save $1.40,33.33
coca cola soft drink zero sugar,Was $13.00,$ 9 00,Save $4.00,30.77
sprite lemon lime no sugar,Was $13.00,$ 9 00,Save $4.00,30.77
eta uppercuts deli cut potato chips sea salt & balsamic vinegar,Was $3.60,$ 2 50,Save $1.10,30.56
colgate cavity protection toothpaste great regular flavour,Was $4.99,$ 3 50,Save $1.49,29.86
fresh n fruity yoghurt tub fruit forest 40% less added,Was $6.80,$ 4 80,Save $2.00,29.41
mainland special reserve double cream brie cheese ultra creamy & smooth,Was $6.90,$ 4 90,Save $2.00,28.99
tip top ice cream jelly tip,Was $8.30,$ 5 90,Save $2.40,28.92
tip top ice cream boysenberry ripple,Was $8.30,$ 5 90,Save $2.40,28.92
tip top ice cream chocolate,Was $8.30,$ 5 90,Save $2.40,28.92
tip top ice cream caramel ripple,Was $8.30,$ 5 90,Save $2.40,28.92
tip top ice cream orange chocolate chip,Was $8.30,$ 5 90,Save $2.40,28.92
meadow fresh yoghurt 6pk creamy berries 6 x 125g,Was $6.90,$ 5 00,Save $1.90,27.54
meadow fresh smooth yoghurt 6pk fruit favourites 6 x 125g,Was $6.90,$ 5 00,Save $1.90,27.54
the natural confectionery co jelly sweets party mix,Was $4.00,$ 2 90,Save $1.10,27.5
the natural confectionery co jelly sweets snakes,Was $4.00,$ 2 90,Save $1.10,27.5
ajax spray n wipe multipurpose cleaning spray vanilla & berries,Was $5.50,$ 4 00,Save $1.50,27.27
ajax spray n wipe cleaning kitchen spray multipurpose baking soda,Was $5.50,$ 4 00,Save $1.50,27.27
just hummus hummus beetroot with roasted garlic,Was $4.10,$ 3 00,Save $1.10,26.83
just hummus hummus roasted carrot & honey,Was $4.10,$ 3 00,Save $1.10,26.83
just hummus hummus roasted kumara & butternut,Was $4.10,$ 3 00,Save $1.10,26.83
san remo pasta spaghetti egg,Was $3.40,$ 2 50,Save $0.90,26.47
copper kettle potato chips honey soy chicken,Was $4.70,$ 3 50,Save $1.20,25.53
active rapid dishwasher tablets lemon,Was $14.70,$ 11 00,Save $3.70,25.17
sun rice long grain rice premium white,Was $4.00,$ 3 00,Save $1.00,25.0
fantastic instant noodles cup chicken,Was $2.00,$ 1 50,Save $0.50,25.0
hellers streaky bacon,Was $12.50,$ 9 50,Save $3.00,24.0
oreo creme filled original 230g,Was $4.30,$ 3 30,Save $1.00,23.26
dilmah black tea bags tagless,Was $6.50,$ 5 00,Save $1.50,23.08
instore bakery bread rolls plain crusty,Was $3.90,$ 3 00,Save $0.90,23.08
"tip top popsicle ice blocks lime, orange & raspberry minis",Was $8.30,$ 6 40,Save $1.90,22.89
tip top popsicle ice blocks lemonade minis,Was $8.30,$ 6 40,Save $1.90,22.89
