item_name,full_price,new_price,discount,amount_saved,category
fruity sacks reusable shopping bag produce bags,Was $1.80, $ 0 60 ,Save $1.20,66.67,Unknown
glow lab body wash citrus and bergamot,Was $16.99, $ 8 00 ,Save $8.99,52.91,Health & Body
glow lab body wash coconut and sandalwood,Was $16.99, $ 8 00 ,Save $8.99,52.91,Health & Body
glow lab body wash blackberry and bay,Was $16.99, $ 8 00 ,Save $8.99,52.91,Health & Body
glow lab antibacterial hand wash lemongrass & lime,Was $6.99, $ 3 49 ,Save $3.50,50.07,Health & Body
glow lab hand wash amber & sage,Was $6.99, $ 3 49 ,Save $3.50,50.07,Health & Body
glow lab hand wash coconut & fig,Was $6.99, $ 3 49 ,Save $3.50,50.07,Health & Body
glow lab antibacterial hand wash coconut & cedar,Was $6.99, $ 3 49 ,Save $3.50,50.07,Health & Body
herbal essences conditioner classic coconut,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
herbal essences classics shampoo rose hips,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
herbal essences classics shampoo chamomile,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
herbal essences classics conditioner chamomile,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
herbal essences classics conditioner rose hips,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
herbal essences shampoo classic coconut,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
herbal essences bio:renew repairing conditioner argan oil of morocco,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
glow lab hand wash refill coconut&fig,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
glow lab hand wash refill coconut cedar,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew repairing shampoo argan oil of morocco,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
glow lab hand wash refill antibacterial grass&lime,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew hydrating shampoo coconut milk,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew hydrating conditioner coconut milk,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew cleansing conditioner white strawberry & mint,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew cleansing shampoo white strawberry & mint,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
glow lab hand wash refill amber&sage,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
glow lab body scrub coconut,Was $16.99, $ 8 49 ,Save $8.50,50.03,Health & Body
glow lab body butter illuminating,Was $17.99, $ 8 99 ,Save $9.00,50.03,Health & Body
glow lab firming  body butter caffeine,Was $17.99, $ 8 99 ,Save $9.00,50.03,Health & Body
glow lab pro collagen plumping facial serum,Was $29.99, $ 14 99 ,Save $15.00,50.02,Health & Body
glow lab vit c brightening facial serum,Was $29.99, $ 14 99 ,Save $15.00,50.02,Health & Body
glow lab pro-collagen lifting eye cream,Was $26.99, $ 13 49 ,Save $13.50,50.02,Health & Body
glow lab water gel hydrating cream,Was $24.99, $ 12 49 ,Save $12.50,50.02,Health & Body
oral b pro 100 electric toothbrush cross action black,Was $79.99, $ 39 99 ,Save $40.00,50.01,Unknown
glow lab reed diffuser rhubarb & wild orchid,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab facial moisturiser spf15,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
glow lab shampoo repairing,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab conditioner thick & full,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab age renew facial cleanser balm,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
glow lab shampoo smoothing macadamia oil,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab scented candle rhubarb & wild orchid,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab conditioner smoothing macadamia oil,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab reed diffuser vanilla & forest berry,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab night cream,Was $24.00, $ 12 00 ,Save $12.00,50.0,Health & Body
glow lab conditioner complete care,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab age renew day cream soothing,Was $30.00, $ 15 00 ,Save $15.00,50.0,Health & Body
glow lab air freshener room spray tonka bean & chai,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
glow lab age renew facial moisturiser total defense spf15,Was $35.00, $ 17 50 ,Save $17.50,50.0,Health & Body
auntie dai's dumplings chicken & coriander,Was $12.00, $ 6 00 ,Save $6.00,50.0,Meat & Poultry
glow lab age renew retinol booster oil,Was $35.00, $ 17 50 ,Save $17.50,50.0,Health & Body
glow lab conditioner leave in,Was $17.00, $ 8 50 ,Save $8.50,50.0,Health & Body
glow lab age renew eye serum firming,Was $35.00, $ 17 50 ,Save $17.50,50.0,Health & Body
glow lab facial oil rosehip plus,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab facial serum,Was $30.00, $ 15 00 ,Save $15.00,50.0,Health & Body
glow lab age renew facial serum regenerating,Was $35.00, $ 17 50 ,Save $17.50,50.0,Health & Body
glow lab shampoo complete care,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab plumping moisturiser pro-collagen,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab air freshener room spray pink guava & nectar,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
glow lab eye serum,Was $23.00, $ 11 50 ,Save $11.50,50.0,Health & Body
glow lab shampoo bar repair keratin,Was $18.00, $ 9 00 ,Save $9.00,50.0,Health & Body
glow lab shampoo bar hydrating argan oil,Was $18.00, $ 9 00 ,Save $9.00,50.0,Health & Body
glow lab facial moisturiser hydra gel sensitive,Was $18.00, $ 9 00 ,Save $9.00,50.0,Health & Body
glow lab thick and full shampoo,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab face wash for acne,Was $16.00, $ 8 00 ,Save $8.00,50.0,Health & Body
glow lab facial moisturiser tinted spf15,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
glow lab exfoliator brightening,Was $16.00, $ 8 00 ,Save $8.00,50.0,Health & Body
auntie dai's siu mai pork,Was $12.00, $ 6 00 ,Save $6.00,50.0,Meat & Poultry
auntie dai dumplings prawn pork & garlic,Was $12.00, $ 6 00 ,Save $6.00,50.0,Fish & Seafood
clio super thick leggings small - medium velvet black 300 denier,Was $22.00, $ 11 00 ,Save $11.00,50.0,Fridge & Deli
oral b toothpaste gum care & enamel restore,Was $10.00, $ 5 00 ,Save $5.00,50.0,Health & Body
glow lab facial moisturiser,Was $16.00, $ 8 00 ,Save $8.00,50.0,Health & Body
glow lab facial cleanser gel,Was $16.00, $ 8 00 ,Save $8.00,50.0,Health & Body
clio super thick leggings tall - xtall velvet black 300 denier,Was $22.00, $ 11 00 ,Save $11.00,50.0,Fridge & Deli
oral b toothpaste sensitivity soft mint,Was $10.00, $ 5 00 ,Save $5.00,50.0,Health & Body
glow lab body wash blackberry & bay,Was $9.00, $ 4 50 ,Save $4.50,50.0,Health & Body
glow lab facial wipes,Was $9.00, $ 4 50 ,Save $4.50,50.0,Household
glow lab facial cleanser crème,Was $16.00, $ 8 00 ,Save $8.00,50.0,Health & Body
glow lab plumping night cream pro-collagen,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab body wash coconut & sandalwood,Was $9.00, $ 4 50 ,Save $4.50,50.0,Health & Body
glow lab reed diffuser coconut & sandalwood,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
glow lab gift pack mini facial products,Was $25.00, $ 12 50 ,Save $12.50,50.0,Health & Body
vittoria espresso grind,Was $12.60, $ 6 30 ,Save $6.30,50.0,Pantry
glow lab toner,Was $13.00, $ 6 50 ,Save $6.50,50.0,Health & Body
glow lab age renew night cream recovery,Was $35.00, $ 17 50 ,Save $17.50,50.0,Health & Body
auntie dai dumplings vegetarian,Was $12.00, $ 6 00 ,Save $6.00,50.0,Unknown
